username,userMediaCount,userFollowerCount,userFollowingCount,userHasHighlighReels,userHasExternalUrl,userBiographyLength,usernameLength,usernameDigitCount
oliver.wang1,1,612,671, True, None,11,12,1
ivan_kalla,3,474,501, True, None,8,10,0
meha_elango,0,199,307, True, None,0,11,0
_lisa_morris_,16,2602,705, True, http://www.bitcoin.com/,62,13,0
emily__williams002,1,1325,2259, True, http://www.unfpa.org/,84,18,3
jfan260,0,143,157, True, None,7,7,3
miranda_baylor1,1,1137,3228, True, None,59,15,1
ananya.s21,11,1310,1138, True, None,9,10,2
linda_allison23,1,890,3687, True, None,0,15,2
allisondu_,0,138,178, True, None,42,10,0
linda_koko19,3,1177,1285, True, None,53,12,2
tayrperline,37,947,515, True, None,37,11,0
emmasimpss,221,2036,1714, True, None,7,10,0
pirateangelsart_1414,104,458,1185, True, http://www.linkedin.com/in/jlraimondo/,112,20,4
sandra_skuyt1,8,1557,4072, True, None,76,13,1
fridga888,6,877,666, True, None,4,9,3
roselina2860,2,132,712, True, None,0,12,4
_henry__mason__,59,10546,3998, True, None,145,15,0
tobeyanist,1,354,542, True, None,9,10,0
jessica_mia7723,0,1280,4592, True, None,43,15,4
haye_s.12,2,2264,2455, True, None,45,9,2
lukewojdyla,38,626,1044, True, None,0,11,0
j_xmartin1,0,1011,2410, True, None,6,10,1
jan_sctt870,3,1171,7751, True, None,22,11,3
jessica_ava_4,0,1770,2548, True, None,120,13,1
oliviamburt_,11,1064,1454, True, None,6,12,0
joeycifani,0,301,890, True, None,12,10,0
k_gacono,277,3182,6289, True, https://aha.cce.af.mil/referral?id=d94d9c74-a7ab-40d3-9e0c-1b00be4d1179,138,8,0
holly.adam,12,1146,880, True, None,26,10,0
halle.hamblin_,0,27,132, True, https://rebrand.ly/hallehamblin,104,14,0
zebarmor,37,1342,2070, True, None,81,8,0
dwoneal3,29,300,424, True, None,0,8,1
sherri_watson19352,3,1518,4745, True, None,50,18,5
cheska_reds123,4,951,2889, True, None,40,14,3
woodskylie02,0,771,4252, True, None,0,12,2
aki_javi_0821,12,1363,851, True, None,7,13,4
kayllaa__sisson423,0,734,446, True, None,68,18,3
ameliaroseloveeddie,1,1116,772, True, None,0,19,0
nmt_1908,5,1789,7488, True, None,29,8,4
ch.xrlotte,39,638,560, True, None,13,10,0
kelsb_art_2005,20,340,362, True, None,105,14,4
kirtanpatellll,1,904,706, True, None,8,14,0
j_zenas02,51,442,506, True, None,35,9,2
rykrawec,6,498,570, True, None,9,8,0
revere.mens.tennis,15,150,28, True, None,84,18,0
leahnicolee03,7,233,719, True, None,17,13,2
lh_cubillos,76,973,1576, True, None,0,11,0
pgaur12,5,423,514, True, None,8,7,2
dannihu01,87,1007,952, True, None,104,9,2
mary_smith_9294,1,1125,1888, True, None,101,15,4
rachelljeong,4,775,738, True, None,25,12,0
davidsharpie,93,418,294, True, None,71,12,0
sheen_lew,3,211,193, True, None,13,9,0
sunny_.daze,157,815,837, True, None,79,11,0
heatherz99,29,360,401, True, None,9,10,2
michiganrectennis,12,69,40, True, https://maizepages.umich.edu/organization/rectennisclub,54,17,0
meli.dupond00,0,19,228, True, None,0,13,2
mellisa_perkinss,6,769,7255, True, None,24,16,0
alexander_fxh,30,982,5411, True, None,58,13,0
adam.a.robinson,5,266,325, True, None,13,15,0
amelia_the_writerr,212,277,7542, True, None,114,18,0
will_krew,0,465,566, True, None,27,9,0
nnem_a,5,1207,1346, True, None,11,6,0
herbert.lau1,1,555,979, True, None,38,12,1
mary_jane00200,0,344,2380, True, None,17,14,5
_ninjalyssa_,6,586,761, True, None,47,12,0
rhs.hallway.crush,4,89,147, True, None,34,17,0
dljh1964,32342,1156,5882, True, https://thehaasiendaonshroyer.com/,134,8,4
dana_essays,56,268,4030, True, None,129,11,0
ryan._mac,8,1089,1048, True, None,17,9,0
bbahiam,138,520,727, True, None,73,7,0
kelsb_art_2023,18,229,473, True, None,80,14,4
jamietodd_,89,1343,1167, True, None,41,10,0
paarth.s,26,644,700, True, None,53,8,0
aduhrich,11,706,444, True, None,51,8,0
ohiosportsfan56,0,5,101, True, None,0,15,2
kyledavis355,0,248,359, True, None,0,12,3
chris.coffey76,0,450,918, True, None,37,14,2
nadav.oren_2002,3,381,502, True, None,9,15,4
janet_roy3542,2,475,2794, True, None,0,13,4
macie_elizabeth_oo,4,1305,7405, True, None,102,18,0
ilansidi123,13,395,452, True, None,11,11,3
shelby_wylucki,33,619,558, True, None,47,14,0
nrestivo10,2,306,339, True, None,0,10,2
en.zuko,37,1146,971, True, https://youtu.be/CAyaqshJ6d4,131,7,0
gregoirefuret,23,123,154, True, None,0,13,0
col_obrien,128,428,690, True, None,0,10,0
teedunff,300,774,1110, True, None,53,8,0
victoriarosepinto,161,3600,3402, True, https://open.spotify.com/track/4Ps0bUA2LvwnBSSY2CsYpF?si=xf2Xu-toTvih9Y9Cp5r95g,130,17,0
emilyclaireeg,59,1680,6114, True, None,74,13,0
umichaffirmations,169,15114,601, True, https://www.redbubble.com/people/umichaffirm/shop?artistUserName=umichaffirm&asc=u&iaCode=all-departments&sortOrder=recent,91,17,0
thamer_alebdi,14,147,215, True, None,46,13,0
ironrootsstrength,1500,1164,2301, True, https://linktr.ee/IronRoots,138,17,0
mandafarris,70,693,968, True, None,67,11,0
jen.ctw,505,659,605, True, http://clubtimewarp.com/,25,7,0
alannawathen,549,553,660, True, None,38,12,0
vneckdoc,77,473,509, True, None,0,8,0
hirsh.kabaria,152,1267,1898, True, None,64,13,0
eric.paik,17,1122,919, True, https://blacklivesmatters.carrd.co/,48,9,0
